(2025-01-08 07:09:03,665) | root| INFO | => ----------------------the user open the app-------------------------------------
(2025-01-08 07:09:03,843) | root| INFO | => The Selected Mode is Magnitude and Phase
(2025-01-08 07:09:03,844) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,875) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,876) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,891) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,891) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,907) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,907) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,921) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,921) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,936) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,937) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,950) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,951) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,965) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,966) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,982) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,982) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:03,998) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:03,999) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,018) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,019) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,036) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,037) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,053) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,053) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,070) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,070) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,084) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,084) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
